P³eæ,Wiek,S.C.,EE,Student,Dochod,CzasGry,gatunekGry,Wydatki
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,0,40,MMORPG,200
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,4000,6,RPG,350
M,18-25 lat,kawaler/pan,Szkola Podstawowa,Student,1000,30,MOBA,500
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,2900,7,SANDBOX,150
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,6000,10,MOBA,150
K,18-25 lat,kawaler/pan,Szkola Podstawowa,Student,3000,10,RPG,500
K,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,20,RPG,500
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,11,MOBA,300
M,18-25 lat,kawaler/pan,Studia I stopnia,Pracujacy,3000,27,MMORPG,2000
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,0,30,MOBA,0
M,25-40 lat,w zwiazku malzenskim,Studia I stopnia,Pracujacy,5000,25,BATTLE ROYAL,1000
In,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,6,MOBA,250
M,25-40 lat,zareczony/zareczo,Studia magisterskie,Pracujacy,3000,5,MOBA,1000
M,18-25 lat,kawaler/pan,Szkola Podstawowa,Student,3000,22,FPS,300
M,mniej ni¿ 18 lat,kawaler/pan,Szkola Podstawowa,Student,3500,18,MOBA,1000
K,18-25 lat,kawaler/pan,Studia I stopnia,Pracujacy;Student,2200,5,MOBA,50
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3000,50,FPS,500
K,25-40 lat,kawaler/pan,Studia I stopnia,Pracujacy,600,3,MOBA,40
K,18-25 lat,kawaler/pan,Studia I stopnia,Pracujacy,5000,40,MMORPG,5000
M,18-25 lat,kawaler/pan,Szkola Srednia,Student,3500,810,FPS,250
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy,2000,80,MOBA,500
M,18-25 lat,zareczony/zareczo,Szkola Srednia,Pracujacy,3000,10,MMORPG,300
M,25-40 lat,w zwiazku malzenskim,Szkola Srednia,Pracujacy,3000,8,FPS,500
M,18-25 lat,kawaler/pan,Studia magisterskie,Pracujacy;Student,3800,20,MMORPG,1500
M,18-25 lat,kawaler/pan,Szkola Srednia,Pracujacy;Student,3000,9,MMORPG,1500
